Page,name,powerUsage,powerGenerated,fuel,overclockable,inputs,outputs,width,length,height,sizeNote
Assembler,Assembler,15,,,Yes,2,1,10,15,10,
AWESOME Shop,AWESOME Shop,,,,,,,4,6,5,
AWESOME Sink,AWESOME Sink,30,,,No,1,0,16,13,24,
Biomass Burner,Biomass Burner,,30,"Leaves, Flower Petals, Wood, Mycelia, Biomass, Solid Biofuel, Packaged Liquid Biofuel, Alien Carapace, Alien Organs, Fabric",Yes,,,8,8,7,
Coal Generator,Coal Generator,,75,"Coal, Compacted Coal, Petroleum Coke",Yes,0,,10,25,36,
Constructor,Constructor,4,,,Yes,1,1,8,10,7,
Conveyor Belt,Conveyor Belt Mk.1,,,,,,,2,(1-49),1,
Conveyor Belt,Conveyor Belt Mk.2,,,,,,,2,(1-49),1,
Conveyor Belt,Conveyor Belt Mk.3,,,,,,,2,(1-49),1,
Conveyor Belt,Conveyor Belt Mk.4,,,,,,,2,(1-49),1,
Conveyor Belt,Conveyor Belt Mk.5,,,,,,,2,(1-49),1,
Conveyor Lift,Conveyor Lift Mk.1,,,,,,,2,2,(4-50),
Conveyor Lift,Conveyor Lift Mk.2,,,,,,,2,2,(4-50),
Conveyor Lift,Conveyor Lift Mk.3,,,,,,,2,2,(4-50),
Conveyor Lift,Conveyor Lift Mk.4,,,,,,,2,2,(4-50),
Conveyor Lift,Conveyor Lift Mk.5,,,,,,,2,2,(4-50),
Conveyor Merger,Conveyor Merger,,,,,3,1,4,4,2,
Conveyor Pole,Conveyor Pole,,,,,1,1,2,1,(1/3/5/7),
Conveyor Splitter,Conveyor Splitter,,,,,1,3,4,4,2,
Craft Bench,Craft Bench,,,,,,,6,3,3,
Cyber Wagon,Cyber Wagon,150,,"Leaves,Flower Petals,Wood,Mycelia,Fabric,Alien Carapace,Alien Organs,Color Cartridge,Biomass,Solid Biofuel,Packaged Liquid Biofuel,Coal,Compacted Coal,Petroleum Coke,Packaged Oil,Packaged Heavy Oil Residue,Packaged Fuel,Packaged Turbofuel,Battery,Nuclear Fuel Rod",,,,,,,
Electric Locomotive,Electric Locomotive,25~110,,Grid Power,,,,6,6,16,
Empty Platform,Empty Platform,,,,,,,30,16,1,
Equipment Workshop,Equipment Workshop,,,,,,,10,7,5,
Explorer,Explorer,90,,"Leaves,Flower Petals,Wood,Mycelia,Fabric,Alien Carapace,Alien Organs,Color Cartridge,Biomass,Solid Biofuel,Packaged Liquid Biofuel,Coal,Compacted Coal,Petroleum Coke,Packaged Oil,Packaged Heavy Oil Residue,Packaged Fuel,Packaged Turbofuel,Battery,Nuclear Fuel Rod",,,,,,,
Fluid Buffer,Fluid Buffer,,,,,0,0,6,6,(Stackable) 8,
Fluid Buffer,Industrial Fluid Buffer,,,,,0,0,14,14,(Stackable) 12,
Foundations,Double Ramp 8m x 2m,,,,,,,8,8,2,
Foundations,Double Ramp 8m x 4m,,,,,,,8,8,4,
Foundations,Double Ramp 8m x 8m,,,,,,,8,8,8,
Foundations,Down Corner 8m x 1m Inverted,,,,,,,8,8,1,
Foundations,Down Corner 8m x 2m Inverted,,,,,,,8,8,2,
Foundations,Down Corner 8m x 4m Inverted,,,,,,,8,8,4,
Foundations,Down Corner Ramp 8m x 1m,,,,,,,8,8,1,
Foundations,Down Corner Ramp 8m x 2m,,,,,,,8,8,2,
Foundations,Down Corner Ramp 8m x 4m,,,,,,,8,8,4,
Foundations,Foundation 8m x 1m,,,,,,,8,8,1,
Foundations,Foundation 8m x 2m,,,,,,,8,8,2,
Foundations,Foundation 8m x 4m,,,,,,,8,8,4,
Foundations,Frame Foundation 8m x 4m,,,,,,,8,8,4,
Foundations,Glass Foundation 8m x 1m,,,,,,,8,8,1,
Foundations,Inner-Corner Quarter Pipe,,,,,,,8,8,4,
Foundations,Inverted Inner-Corner Quarter Pipe,,,,,,,8,8,4,
Foundations,Inverted Outer-Corner Quarter Pipe,,,,,,,8,8,4,
Foundations,Inverted Quarter Pipe,,,,,,,8,8,4,
Foundations,Inverted Ramp 8m x 1m,,,,,,,8,8,1,
Foundations,Inverted Ramp 8m x 2m,,,,,,,8,8,2,
